iter	Passed	Remaining
868	34891	5259
869	34941	5221
870	34983	5181
871	35020	5140
872	35056	5099
873	35108	5061
874	35142	5020
875	35179	4979
876	35217	4939
877	35255	4898
878	35290	4858
879	35329	4817
880	35364	4776
881	35400	4736
882	35466	4699
883	35502	4658
884	35538	4617
885	35584	4578
886	35618	4537
887	35654	4496
888	35690	4456
889	35725	4415
890	35760	4374
891	35796	4334
892	35835	4293
893	35875	4253
894	35911	4213
895	35947	4172
896	35982	4131
897	36018	4091
898	36055	4050
899	36092	4010
900	36129	3969
901	36164	3929
902	36202	3888
903	36239	3848
904	36275	3807
905	36313	3767
906	36349	3727
907	36385	3686
908	36422	3646
909	36459	3605
910	36494	3565
911	36531	3524
912	36569	3484
913	36607	3444
914	36642	3403
915	36681	3363
916	36717	3323
917	36753	3282
918	36790	3242
919	36827	3202
920	36863	3162
921	36899	3121
922	36936	3081
923	36978	3041
924	37019	3001
925	37054	2961
926	37091	2920
927	37125	2880
928	37162	2840
929	37203	2800
930	37246	2760
931	37282	2720
932	37317	2679
933	37354	2639
934	37390	2599
935	37430	2559
936	37471	2519
937	37507	2479
938	37544	2438
939	37593	2399
940	37643	2360
941	37679	2319
942	37714	2279
943	37749	2239
944	37791	2199
945	37827	2159
946	37877	2119
947	37913	2079
948	37948	2039
949	37984	1999
950	38020	1959
951	38058	1918
952	38097	1878
953	38133	1838
954	38168	1798
955	38206	1758
956	38243	1718
957	38278	1678
958	38313	1638
959	38348	1597
960	38385	1557
961	38421	1517
962	38456	1477
963	38490	1437
964	38528	1397
965	38566	1357
966	38604	1317
967	38639	1277
968	38674	1237
969	38708	1197
970	38743	1157
971	38778	1117
972	38813	1077
973	38848	1037
974	38883	997
975	38920	957
976	38956	917
977	38992	877
978	39031	837
979	39068	797
980	39103	757
981	39138	717
982	39175	677
983	39213	637
984	39257	597
985	39293	557
986	39328	518
987	39365	478
988	39405	438
989	39454	398
990	39495	358
991	39531	318
992	39607	279
993	39719	239
994	39800	200
995	39836	159
996	39870	119
997	39904	79
998	39937	39
999	39970	0
